dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
NewThyroid2,feature_CL,26226,curriculum,0.8960062766573794,0.2726460846149061,0.2673779240232241,0.0,0.0030806518681677237,0.005268160591682003
NewThyroid2,feature_CL,26226,static,0.8978888719000082,0.2726460846149061,0.26838077149356737,0.0,0.003225373127443799,0.00426531312133871
BCWDD,feature_TD_P,670488,static,0.7515169692215483,0.22541749030518263,0.2444361269490852,0.0018249600297177721,0.0024533547700395287,0.019018636643902576
NewThyroid2,feature_CL,26226,self_paced,0.7310453903557007,0.2726460846149061,0.2820317287361431,0.0,0.016152538659164484,0.009385644121236991
BCWDD,feature_TD_P,670488,self_paced,0.8154593244495228,0.22541749030518263,0.20835965009945867,0.0018249600297177721,0.0029438947788055945,0.017057840205723956
NewThyroid2,feature_CLD,670488,curriculum,0.8618345788484412,0.2665847395040548,0.25164869856914635,0.0,0.00020755802052862813,0.014936040934908468
NewThyroid2,feature_CLD,670488,static,0.8727769726292586,0.2665847395040548,0.2565867865325956,0.0,0.00016239210555145706,0.009997952971459223
BCWDD,feature_TD_P,116740,curriculum,0.7859837018092215,0.23406454032850854,0.1946161354863213,0.0012323269940856857,0.005292492924114769,0.03944840484218723
NewThyroid2,feature_CLD,670488,self_paced,0.8637459810539027,0.2665847395040548,0.27839207885284384,0.0,0.006400584095755954,0.011807339348789025
BCWDD,feature_TD_P,116740,static,0.788088292827749,0.23406454032850854,0.2009998230498343,0.0012323269940856857,0.006749902279097906,0.033064717278674244
NewThyroid2,feature_CLD,116740,curriculum,0.8886674547777974,0.2695586592990631,0.2636002206407205,0.0,0.0037796505135789557,0.005958438658342613
NewThyroid2,feature_CLD,116740,static,0.8861538995179999,0.2695586592990631,0.26216184567515166,0.0,0.002906612595175085,0.007396813623911425
