dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
Hepatitis,777573,HardTVAE_kDN_static,kDN,static,0.3680274403958615,0.8441343785434804,0.3866487455197132,0.8226624428182615,0.5192292416951654
Hepatitis,777573,HardTVAE_kDN_self_paced,kDN,self_paced,0.3627980206927575,0.8199711027345706,0.4126344086021505,0.9273323646684672,0.5349220819965352
Hepatitis,777573,HardTVAE_DS_curriculum,DS,curriculum,0.3580184435447593,0.8346483495158751,0.4106929510155316,0.8433753248608307,0.5254941963277137
Hepatitis,777573,HardTVAE_DS_static,DS,static,0.3805105713000449,0.8349881739629452,0.4066606929510155,0.8626398447247704,0.5373487990078505
Hepatitis,777573,HardTVAE_DS_self_paced,DS,self_paced,0.353463787674314,0.8179005629227319,0.4130824372759856,0.8259914505299119,0.5206111772753796
Hepatitis,777573,HardTVAE_DCP_curriculum,DCP,curriculum,0.3336707152496626,0.8286733710473075,0.4103942652329749,0.8121844986197713,0.5081531087962761
Hepatitis,777573,HardTVAE_DCP_static,DCP,static,0.3686459739091318,0.8412610735655861,0.3933691756272401,0.9463871889525314,0.5333253340515709
Hepatitis,777573,HardTVAE_DCP_self_paced,DCP,self_paced,0.3807354925775978,0.8446815604082829,0.4114396654719234,0.8677923123058304,0.5410367646846267
Hepatitis,777573,HardTVAE_TD_U_curriculum,TD_U,curriculum,0.37185110211426,0.8276965724848893,0.4097968936678614,0.8976692801711504,0.5367938706722759
Hepatitis,777573,HardTVAE_TD_U_static,TD_U,static,0.3680836707152496,0.8470811150114894,0.4039725209080048,0.9365872263222004,0.5376040455660835
Hepatitis,777573,HardTVAE_TD_U_self_paced,TD_U,self_paced,0.3618421052631579,0.836323205338033,0.4165173237753883,0.9115050523375884,0.5363876327434662
Hepatitis,777573,HardTVAE_CL_curriculum,CL,curriculum,0.3645973909131803,0.8027578306196006,0.4015830346475507,0.932641272424958,0.5297433870403824
Hepatitis,777573,HardTVAE_CL_static,CL,static,0.3687584345479083,0.8356880362298713,0.4130824372759856,0.8096662393335737,0.5287981998778438
Hepatitis,777573,HardTVAE_CL_self_paced,CL,self_paced,0.3852901484480431,0.8541264276022846,0.4165173237753883,0.9186481978612532,0.5512945112925075
Hepatitis,777573,HardTVAE_CLD_curriculum,CLD,curriculum,0.3609986504723346,0.8424117313297036,0.4111409796893668,0.9042626958994462,0.5336684415639709
Hepatitis,777573,HardTVAE_CLD_static,CLD,static,0.3703328834907782,0.8362115055787062,0.4157706093189964,0.8492376561514561,0.5348421515208168
Hepatitis,777573,HardTVAE_CLD_self_paced,CLD,self_paced,0.3885515069725596,0.8301452315695076,0.4114396654719235,0.8978138738391886,0.5462558173326242
Hepatitis,777573,HardTVAE_MV_curriculum,MV,curriculum,0.3662843004948268,0.8170057869929782,0.3873954599761051,0.9441317364485996,0.5266888332910593
Hepatitis,777573,HardTVAE_MV_static,MV,static,0.3472784525416104,0.8359476254313519,0.4262246117084827,0.8492902434312565,0.5263562744872229
Hepatitis,777573,HardTVAE_MV_self_paced,MV,self_paced,0.3847278452541611,0.8298655448612344,0.391726403823178,0.8738232662462426,0.5332300447797557
Hepatitis,777573,HardTVAE_CB_curriculum,CB,curriculum,0.3629667116509222,0.8332619247402904,0.4089008363201911,0.886772321521364,0.5313184100108254
Hepatitis,777573,HardTVAE_CB_static,CB,static,0.3570625281151597,0.8435366520047821,0.4208482676224612,0.9340791923962968,0.5381522206914058
Hepatitis,777573,HardTVAE_CB_self_paced,CB,self_paced,0.3752249212775529,0.8438646268506225,0.4162186379928315,0.9178252908379914,0.5447952607675428
Hepatitis,777573,HardTVAE_N1_curriculum,N1,curriculum,0.3485155195681512,0.8056024798714286,0.413231780167264,0.927702739933688,0.5257277642253958
Hepatitis,777573,HardTVAE_N1_static,N1,static,0.3594804318488529,0.832980796057231,0.4320489844683392,0.9236041982794742,0.5420371716423692
Hepatitis,777573,HardTVAE_N1_self_paced,N1,self_paced,0.3794421952316689,0.8463020649194694,0.418010752688172,0.9240051804371644,0.5485774436433992
Hepatitis,777573,HardTVAE_N2_curriculum,N2,curriculum,0.3752249212775528,0.8352597319109258,0.42278972520908,0.8118804203175238,0.5362468687489435
Hepatitis,777573,HardTVAE_N2_static,N2,static,0.3911381016644175,0.8007470918183744,0.4196535244922341,0.8184888678568151,0.5397996020587758
Hepatitis,777573,HardTVAE_N2_self_paced,N2,self_paced,0.3943994601889339,0.8473432153319755,0.4130824372759856,0.8880804968412132,0.5507739121085239
Hepatitis,777573,HardTVAE_LSC_curriculum,LSC,curriculum,0.393668466036887,0.8294512182112002,0.4094982078853046,0.9240678234027064,0.550205591026886
Hepatitis,777573,HardTVAE_LSC_static,LSC,static,0.3632478632478633,0.8397343414550499,0.4183094384707287,0.9526134631913246,0.5417035560869032
Hepatitis,777573,HardTVAE_LSC_self_paced,LSC,self_paced,0.3739316239316239,0.8079636555429272,0.4089008363201911,0.8296907877641249,0.5289036483625054
Hepatitis,777573,HardTVAE_LSR_curriculum,LSR,curriculum,0.3690395861448493,0.8213710775352495,0.4214456391875746,0.8176985868123468,0.5317068285802031
Hepatitis,777573,HardTVAE_LSR_static,LSR,static,0.3872582096266306,0.8414841341137271,0.3935185185185185,0.841236230289828,0.5332952084598809
Hepatitis,777573,HardTVAE_LSR_self_paced,LSR,self_paced,0.3890575798470535,0.8468236179150406,0.3699223416965352,0.9145994554204672,0.5299528016542088
Hepatitis,777573,HardTVAE_Harmfulness_curriculum,Harmfulness,curriculum,0.3492465137201979,0.8295366858000793,0.4045698924731182,0.9282171047346484,0.5250794902573945
Hepatitis,777573,HardTVAE_Harmfulness_static,Harmfulness,static,0.3771367521367522,0.8345029979066984,0.4183094384707287,0.8328156307707292,0.5375479336645984
Hepatitis,777573,HardTVAE_Harmfulness_self_paced,Harmfulness,self_paced,0.3850089968511021,0.8203037623761907,0.4105436081242533,0.8696978844419041,0.5403928880711456
Hepatitis,777573,HardTVAE_F1_curriculum,F1,curriculum,0.3624044084570401,0.8143734053727727,0.4238351254480286,0.8894559330876064,0.5354052018446577
Hepatitis,777573,HardTVAE_F1_static,F1,static,0.364766081871345,0.8360504674498439,0.3909796893667861,0.8837186340251919,0.5244634320434932
Hepatitis,777573,HardTVAE_F1_self_paced,F1,self_paced,0.375787224471435,0.8126899491638082,0.4075567502986857,0.7960155609383297,0.5262143692516107
Hepatitis,777573,HardTVAE_F2_curriculum,F2,curriculum,0.3514394961763383,0.7654827212644946,0.4023297491039426,0.8967692841900079,0.5159664116982844
Hepatitis,777573,HardTVAE_F2_static,F2,static,0.3636414754835808,0.8445654688116175,0.415621266427718,0.7908978106668193,0.5260095498909785
Hepatitis,777573,HardTVAE_F2_self_paced,F2,self_paced,0.3653283850652272,0.8467930811603452,0.4114396654719235,0.9400720602436278,0.5396342721154974
Hepatitis,777573,HardTVAE_F3_curriculum,F3,curriculum,0.3467161493477283,0.8210934573356293,0.4080047789725208,0.92687980926311,0.5241136791621699
Hepatitis,777573,HardTVAE_F3_static,F3,static,0.3780926675663518,0.833613706457439,0.4083034647550776,0.8552139989750767,0.5359841413852107
Hepatitis,777573,HardTVAE_F3_self_paced,F3,self_paced,0.3814664867296446,0.8067928030650414,0.4089008363201911,0.8100123225104835,0.5304288669614902
Hepatitis,777573,HardTVAE_F4_curriculum,F4,curriculum,0.382085020242915,0.8412152076194928,0.3968040621266427,0.8205948108378944,0.5301707792928083
Hepatitis,777573,HardTVAE_F4_static,F4,static,0.3659469185784975,0.7920158963797786,0.4123357228195938,0.9432244532499738,0.534713680812552
Hepatitis,777573,HardTVAE_F4_self_paced,F4,self_paced,0.388663967611336,0.8104424462742315,0.4042712066905615,0.8319712048540434,0.5345905298021012
Hepatitis,288390,CTGAN,,,0.7553981106612685,0.841384494249764,0.254778972520908,0.9400135817523172,0.5332545790344907
Hepatitis,288390,TVAE,,static,0.3732006297795772,0.8515538916361137,0.4469832735961768,0.830531534204834,0.5483120441986049
Hepatitis,288390,HardTVAE_kDN_curriculum,kDN,curriculum,0.3609986504723347,0.8483583735740773,0.482078853046595,0.8663157987410673,0.5572968366813905
Hepatitis,288390,HardTVAE_kDN_static,kDN,static,0.3570062977957715,0.8332263007918198,0.4905913978494623,0.9383498337578374,0.5629614727455562
Hepatitis,288390,HardTVAE_kDN_self_paced,kDN,self_paced,0.3625168690958165,0.8241072621664265,0.4834229390681004,0.8475128253681565,0.5539834914755702
Hepatitis,288390,HardTVAE_DS_curriculum,DS,curriculum,0.3496401259559154,0.8440975168717118,0.4861111111111111,0.8252495871960611,0.546920415438514
Hepatitis,288390,HardTVAE_DS_static,DS,static,0.3582433648223122,0.8359330839840957,0.486857825567503,0.8217879297674016,0.5510770435308192
Hepatitis,288390,HardTVAE_DS_self_paced,DS,self_paced,0.3672964462438147,0.830282587540825,0.474910394265233,0.8543826472265246,0.5553163223781387
Hepatitis,288390,HardTVAE_DCP_curriculum,DCP,curriculum,0.3659469185784975,0.8445286122455624,0.4774492234169653,0.8681460577817578,0.5584195711835097
Hepatitis,288390,HardTVAE_DCP_static,DCP,static,0.3484592892487629,0.8290034208955984,0.4877538829151732,0.8391033638048919,0.5465969859363377
Hepatitis,288390,HardTVAE_DCP_self_paced,DCP,self_paced,0.3748313090418353,0.8318697547616963,0.439516129032258,0.8496271155025643,0.5462843272513449
Hepatitis,288390,HardTVAE_TD_U_curriculum,TD_U,curriculum,0.3702204228520018,0.8278266249482013,0.4867084826762246,0.915011312600016,0.5668471016091943
Hepatitis,288390,HardTVAE_TD_U_static,TD_U,static,0.3514957264957265,0.8268849412954971,0.4574372759856631,0.7918370425349824,0.5330972725898949
Hepatitis,288390,HardTVAE_TD_U_self_paced,TD_U,self_paced,0.3628542510121457,0.8292707778224631,0.4855137395459976,0.8556011171323222,0.556308961018151
Hepatitis,288390,HardTVAE_CL_curriculum,CL,curriculum,0.3547570850202429,0.8125700430711156,0.4858124253285543,0.8212035883937042,0.5460284335998411
Hepatitis,288390,HardTVAE_CL_static,CL,static,0.375281151596941,0.8310595586623353,0.485663082437276,0.8501413144750024,0.563121112871341
Hepatitis,288390,HardTVAE_CL_self_paced,CL,self_paced,0.3716261808367072,0.8089147271049302,0.4792413381123058,0.8177819887919686,0.5527494717797155
Hepatitis,288390,HardTVAE_CLD_curriculum,CLD,curriculum,0.3841655420602789,0.8533120673880163,0.4717741935483871,0.9040514713195054,0.5713682895178238
Hepatitis,288390,HardTVAE_CLD_static,CLD,static,0.3535200179937022,0.8229043243571262,0.4767025089605734,0.8534047477295533,0.5469394717119811
Hepatitis,288390,HardTVAE_CLD_self_paced,CLD,self_paced,0.3829284750337381,0.81795383167468,0.4781959378733572,0.890824674426676,0.5675558151021944
Hepatitis,288390,HardTVAE_MV_curriculum,MV,curriculum,0.3839968511021142,0.8494036040418703,0.4804360812425329,0.9148322182124572,0.5750411770550685
Hepatitis,288390,HardTVAE_MV_static,MV,static,0.3732006297795771,0.8384023568033434,0.4752090800477896,0.8806113317582926,0.5624154403321127
Hepatitis,288390,HardTVAE_MV_self_paced,MV,self_paced,0.3628542510121458,0.8456726849652061,0.4774492234169654,0.7848790921886332,0.5474230372262612
Hepatitis,288390,HardTVAE_CB_curriculum,CB,curriculum,0.3689271255060729,0.8451144811810419,0.4805854241338112,0.7891999771103436,0.552353779454969
Hepatitis,288390,HardTVAE_CB_static,CB,static,0.3575686009896536,0.8348729141632648,0.4853643966547192,0.9024429844997988,0.5584358301125191
Hepatitis,288390,HardTVAE_CB_self_paced,CB,self_paced,0.3642037786774629,0.8392562439338743,0.4631123058542413,0.8714649848376032,0.5521778152329558
Hepatitis,288390,HardTVAE_N1_curriculum,N1,curriculum,0.3654408457040036,0.832519520728379,0.4587813620071684,0.8452974228887643,0.5479229073667156
Hepatitis,288390,HardTVAE_N1_static,N1,static,0.3411493477282952,0.8410741534787884,0.4678912783751493,0.8753052843521891,0.5405456167211171
Hepatitis,288390,HardTVAE_N1_self_paced,N1,self_paced,0.3723571749887539,0.8292955974901441,0.4744623655913978,0.8674501684356672,0.5592928104902307
Hepatitis,288390,HardTVAE_N2_curriculum,N2,curriculum,0.3661718398560504,0.8334802791378677,0.4847670250896058,0.9218325005152516,0.5651003341076379
Hepatitis,288390,HardTVAE_N2_static,N2,static,0.3667341430499325,0.8233712164125603,0.4535543608124253,0.9029600003476812,0.551452892298166
Hepatitis,288390,HardTVAE_N2_self_paced,N2,self_paced,0.3676338281601439,0.8070838087929716,0.4778972520908005,0.7693118189251206,0.5441074126599361
Hepatitis,288390,HardTVAE_LSC_curriculum,LSC,curriculum,0.3538573999100315,0.8305103545699393,0.4858124253285543,0.910753062491244,0.5566010273566933
Hepatitis,288390,HardTVAE_LSC_static,LSC,static,0.3472222222222222,0.818835181380591,0.4847670250896058,0.8408941767199036,0.5439731692487354
