model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CLD_self_paced,CLD,self_paced,HeartCleveland,Recall,TVAE,-1.1102230246251566e-17,0.026338599384765363,10,0.2
HardTVAE_CLD_self_paced,CLD,self_paced,HeartCleveland,Specificity,TVAE,-0.0012605042016806678,0.031054168523325883,10,0.3
HardTVAE_CLD_self_paced,CLD,self_paced,Hepatitis,F1 Score,TVAE,0.02588981633521864,0.12697190488392648,6,0.5
HardTVAE_CLD_self_paced,CLD,self_paced,Hepatitis,Precision,TVAE,0.06878720238095243,0.20582366860994208,6,0.5
HardTVAE_CLD_self_paced,CLD,self_paced,Hepatitis,Recall,TVAE,0.010416666666666666,0.07306532465312576,6,0.5
HardTVAE_CLD_self_paced,CLD,self_paced,Hepatitis,Specificity,TVAE,0.045138888888888874,0.3166164068302116,6,0.5
HardTVAE_CLD_self_paced,CLD,self_paced,Hypothyroid,F1 Score,TVAE,-0.00983811064398652,0.05412373580099743,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,Hypothyroid,Precision,TVAE,-0.008539880393779486,0.08119518907390622,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,Hypothyroid,Recall,TVAE,-0.007407407407407374,0.03198761693162299,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,Hypothyroid,Specificity,TVAE,-0.1207617458383193,0.46859304818777603,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,ILPD,F1 Score,TVAE,-0.002299920733481975,0.06224952203123919,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,ILPD,Precision,TVAE,0.006025769815070947,0.12112639705818208,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,ILPD,Recall,TVAE,0.02372881355932206,0.028361356831663593,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,ILPD,Specificity,TVAE,-0.032412286948677746,0.12140457043055328,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid1,F1 Score,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid1,Precision,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid1,Recall,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid1,Specificity,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid2,F1 Score,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid2,Precision,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid2,Recall,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,NewThyroid2,Specificity,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,Pima,F1 Score,TVAE,0.04648115765370984,0.10598688959041137,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,Pima,Precision,TVAE,0.07065412525819867,0.13696588376175375,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,Pima,Recall,TVAE,0.023376623376623384,0.049792959773196935,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,Pima,Specificity,TVAE,0.07395670995670997,0.15828888615360398,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,Thoracic,F1 Score,TVAE,-0.01789974952231028,0.02857523407134493,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,Thoracic,Precision,TVAE,-0.0048120889814011305,0.007802000292513388,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,Thoracic,Recall,TVAE,-0.03404255319148937,0.05340383148089842,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,Thoracic,Specificity,TVAE,-0.005957446808510613,0.009345670509157238,5,0.0
HardTVAE_CLD_self_paced,CLD,self_paced,Vertebral,F1 Score,TVAE,0.005891117567889026,0.2341221994496695,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,Vertebral,Precision,TVAE,0.023996648512777587,0.27851419352341356,5,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,Vertebral,Recall,TVAE,0.012903225806451646,0.14711940969021137,5,0.2
HardTVAE_CLD_self_paced,CLD,self_paced,Vertebral,Specificity,TVAE,-0.004331797235023071,0.3950621241518868,5,0.4
HardTVAE_CLD_static,CLD,static,BCWDD,F1 Score,TVAE,0.058290535050947154,0.12269327641489437,10,0.6
HardTVAE_CLD_static,CLD,static,BCWDD,Precision,TVAE,0.06715071677772191,0.1573192904387127,10,0.7
HardTVAE_CLD_static,CLD,static,BCWDD,Recall,TVAE,0.04385964912280703,0.08028965039617535,10,0.6
HardTVAE_CLD_static,CLD,static,BCWDD,Specificity,TVAE,0.07121971595655804,0.1386891548167366,10,0.6
HardTVAE_CLD_static,CLD,static,HeartCleveland,F1 Score,TVAE,0.007820587579038052,0.03670728405313526,10,0.2
HardTVAE_CLD_static,CLD,static,HeartCleveland,Precision,TVAE,0.00474981748114176,0.029475403267413016,10,0.2
HardTVAE_CLD_static,CLD,static,HeartCleveland,Recall,TVAE,0.006451612903225779,0.03331598577382728,10,0.2
HardTVAE_CLD_static,CLD,static,HeartCleveland,Specificity,TVAE,0.010355109785849803,0.03790568401555654,10,0.2
HardTVAE_CLD_static,CLD,static,Hepatitis,F1 Score,TVAE,0.009520768716171024,0.06534980558194588,6,0.3333333333333333
HardTVAE_CLD_static,CLD,static,Hepatitis,Precision,TVAE,0.04517609126984131,0.10193482975565255,6,0.3333333333333333
HardTVAE_CLD_static,CLD,static,Hepatitis,Recall,TVAE,-0.010416666666666666,0.04704829079431756,6,0.16666666666666666
HardTVAE_CLD_static,CLD,static,Hepatitis,Specificity,TVAE,0.04033119658119657,0.19773697247557045,6,0.3333333333333333
HardTVAE_CLD_static,CLD,static,Hypothyroid,F1 Score,TVAE,-0.011017137398771193,0.025240594922240144,5,0.2
HardTVAE_CLD_static,CLD,static,Hypothyroid,Precision,TVAE,-0.009665318498980623,0.02129287933065495,5,0.2
HardTVAE_CLD_static,CLD,static,Hypothyroid,Recall,TVAE,-0.008994708994708934,0.021130926505519496,5,0.2
HardTVAE_CLD_static,CLD,static,Hypothyroid,Specificity,TVAE,-0.12089364195875411,0.23553835347596236,5,0.2
HardTVAE_CLD_static,CLD,static,ILPD,F1 Score,TVAE,0.050280173753671664,0.04129257765561454,5,0.8
HardTVAE_CLD_static,CLD,static,ILPD,Precision,TVAE,0.07301511871340968,0.07601793112296423,5,0.8
